word,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24
commencement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018259282,0.00046612803,0,0,0,0,0,0,0,0.0016357688,0
fin,0,0,0.0074397542,0.0011612327,0,0,0.002328108,0,0,0,0,0,0,0,0.0020288091,0.0065257924,0,0,0,0,0,0,0,0,0.0025439898
dudit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018259282,0,0,0,0,0,0,0,0,0,0
livre,0,0,0,0,0,0,0.0001552072,0,0,0,0,0,0,0,0.0081152364,0,0,0,0,0,0,0.0019445239,0,0,0
extrait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056806654,0,0,0,0,0,0,0,0,0,0
tenues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024345709,0,0,0,0,0,0,0,0,0,0
signifiées,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00223169,0,0,0,0,0,0,0,0,0,0
mandons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028403327,0,0,0,0,0,0,0,0,0,0
huissier,0,0,0,0,0,0,0,0,0,0,0,0,0.00011300712,0,0.0018259282,0,0,0,0,0,0,0,0,0,0
exécution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028403327,0,0,0,0,0,0,0.00011438376,0,0.00027262814,0
icelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014201664,0,0,0,0,0,0,0,0,0,0
actes,0,0,0,0,0,0,0,0,0,0.0020632737,0,0,0,0,0,0,0.00024160425,0,0,0,0,0,0,0,0
requis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018259282,0,0,0,0,0,0,0,0,0,0
demander,0,0,0,0.0014292095,0,0,0,0.0034421038,0.0035639073,0,0,0,0,0,0.0020288091,0,0,0,0,0,0,0,0,0,0
plaisir,0,0,0,0.0037070121,0,0,0,0,0,0,0,0,0.0044072777,0,0.0032460945,0,0,0,0,0,0,0,0,0,0.002755989
donné,0,0,0,0,0,0,0,0,0,0.0080238423,0,0,0,0,0.0064921891,0,0,0,0,0.0042213524,0.0048465267,0.0017157564,0,0,0
treizième,0,0,0,0,0,0,0,0,0,0.00022925264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
grâce,0,0,0,0.0042429656,0,0,0,0,0,0.0018340211,0,0,0.0041812634,0,0.0081152364,0,0,0.0045021186,0,0,0,0.0046325422,0,0,0
vingts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020288091,0,0,0,0,0,0,0,0,0,0
règne,0.0010205239,0,0,0,0,0,0,0,0,0,0,0.0015511892,0,0.00066350711,0.0026374518,0,0,0,0.0041454459,0,0,0,0,0,0.0014839941
signé,0,0,0,0,0,0,0,0.000068842076,0,0,0,0,0,0.00009478673,0.0050720227,0,0,0,0,0,0,0,0,0,0
conseil,0,0,0,0,0,0,0,0,0.00080997894,0,0,0.0045058354,0,0,0.0048691418,0,0,0,0,0.00084427047,0,0,0,0,0.0031799873
alence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00081152364,0,0,0,0,0,0,0,0,0,0
registré,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018259282,0,0,0,0,0,0,0,0,0,0
communauté,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030432136,0,0,0,0,0,0,0,0,0,0
libraires,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034489755,0,0,0,0,0,0,0,0,0,0
imprimeurs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038547373,0,0,0,0,0,0,0,0,0,0
arrêt,0,0,0,0,0.0031512605,0,0,0,0,0,0,0,0.0046332919,0,0,0,0.00096641701,0,0,0,0,0.0021732914,0,0,0
avril,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
privé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010144045,0,0,0,0,0,0,0.00057191879,0,0,0
février,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028403327,0,0,0,0,0,0,0,0,0,0
angot,0,0,0,0,0,0,0,0,0,0,0.00018642804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syndic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016230473,0,0,0,0,0,0,0,0,0,0
fournis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0020288091,0,0,0,0,0,0,0,0,0,0
theodore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020288091,0,0,0,0,0,0,0,0,0,0
glrard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020288091,0,0,0,0,0,0,0,0,0,0
grand,0,0.011358258,0,0,0,0,0.010398883,0.012185048,0,0.0013755158,0.01137211,0.017654011,0.0071194485,0.0098578199,0,0,0,0.0025158898,0.0074618027,0.000076751861,0,0,0,0,0
salle,0,0,0,0,0,0,0.0004656216,0,0,0,0,0,0.00011300712,0,0.0040576182,0,0,0,0,0,0,0,0,0,0
palais,0,0.003076195,0,0,0,0,0,0,0.0012959663,0,0,0,0,0,0.0056806654,0.0088564326,0.0031408553,0,0,0,0.0013462574,0,0,0,0
dauphine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00040576182,0,0,0,0,0,0,0,0,0,0
envie,0,0,0,0,0,0,0,0.001789894,0,0,0,0,0.0054243417,0.00009478673,0,0,0,0.00026483051,0,0,0,0.0032027452,0,0,0.0057239771
achevé,0,0,0.0011321365,0,0,0,0,0,0,0,0,0,0,0,0.0075065936,0,0,0,0,0,0,0,0,0,0
madame,0,0,0,0.032916481,0,0,0.0085363961,0,0,0,0,0,0,0,0.0034489755,0,0,0,0,0,0,0,0,0,0
duchesse,0,0.0016564127,0,0,0,0,0,0,0,0,0,0,0,0,0.00060864273,0,0,0,0,0,0,0,0,0,0
bouillon,0,0.0026029342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
craindre,0,0,0,0,0,0.0062852189,0.0021729008,0,0,0,0,0.00384104,0,0,0,0,0,0,0,0,0,0,0,0,0
destin,0,0,0,0,0,0.0044429996,0,0,0,0,0,0.0058354262,0,0.0060663507,0,0,0,0,0,0,0,0,0,0,0
chose,0.0023245266,0,0,0,0,0,0.0017072792,0,0,0.011691884,0.0039149888,0,0.0030511922,0,0,0,0,0.010460805,0,0,0,0,0,0,0
chef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054381603,0.00072481276,0,0.0009475305,0,0,0,0,0,0
grèce,0,0,0,0,0,0,0,0,0.0063178357,0.0016047685,0,0,0,0,0.00060864273,0,0,0,0.00023688262,0,0,0,0,0,0
périt,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00009478673,0,0.0010876321,0,0,0,0,0,0,0,0,0
famille,0,0,0,0,0,0,0,0.00061957869,0.0048598736,0,0,0,0,0,0,0.0020198881,0,0,0,0.0016117891,0,0,0,0,0
heureusement,0,0,0,0,0,0,0,0,0,0,0,0.0011818585,0.00022601424,0,0,0,0,0,0,0,0,0,0,0.00027262814,0
évité,0,0,0,0,0,0.00027091461,0,0,0.00016199579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
périls,0,0,0,0,0,0.0011920243,0,0,0,0,0,0,0,0,0,0,0,0,0.0022503849,0,0,0,0,0,0
guerre,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0052132701,0,0.0049720323,0.0041072723,0,0,0,0,0,0,0,0
années,0,0,0.0025877406,0,0,0,0,0,0,0,0,0,0.00067804272,0,0.0020288091,0,0,0,0,0,0.0016155089,0,0,0,0
ouvrage,0,0,0,0,0,0.0011378414,0,0,0,0.0066483265,0,0,0,0.001042654,0.0040576182,0,0,0,0,0,0.00080775444,0,0,0,0
exposé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00047376525,0,0,0,0,0,0
yeux,0,0,0.015849911,0.01773113,0,0.010348938,0,0,0.007613802,0.00022925264,0,0,0,0.013364929,0,0,0.011113796,0,0,0,0.0037695207,0,0,0.0016357688,0
critiques,0,0.0023663038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
succombera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020288091,0,0,0,0,0,0,0,0,0,0
atteintes,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085308057,0.00040576182,0,0,0,0,0,0,0,0,0,0
heureux,0.011055675,0,0,0,0,0,0,0,0.0085857768,0.0029802843,0,0,0,0,0,0,0.0031408553,0,0.0043823286,0,0,0,0,0,0
succès,0.0016441773,0.0054424988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0086462158,0,0,0,0,0,0
représentations,0,0.0014197823,0,0,0,0,0,0,0,0,0,0,0,0,0.00040576182,0,0,0,0,0,0,0,0,0,0
moyen,0,0,0,0,0,0,0,0.00082610492,0,0,0,0,0.0038422421,0,0,0,0,0,0,0.0031468263,0,0,0,0,0
garantir,0,0,0,0,0,0.0007585609,0,0,0,0,0,0.00066479539,0,0,0,0,0,0,0,0,0,0,0,0,0
daignez,0,0,0,0,0,0,0.0017072792,0,0.0038878989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
agréer,0,0,0,0,0,0,0.0001552072,0,0,0,0,0,0.00011300712,0,0.00060864273,0,0,0,0,0,0,0,0,0,0
mette,0,0,0,0.00026797678,0,0,0,0,0,0,0,0.000073866155,0.00045202848,0,0.00020288091,0,0,0,0,0,0,0,0,0,0
protection,0,0,0,0,0,0,0.0004656216,0,0,0,0,0,0,0,0.0016230473,0,0,0,0,0,0,0.00028595939,0,0,0
altesse,0,0,0,0,0,0,0.0034145584,0,0,0,0,0,0,0,0.0028403327,0,0,0,0,0,0,0,0,0,0
éclat,0,0,0,0.004376954,0,0,0,0.0030290514,0,0,0,0.0020682523,0,0,0,0,0,0,0.0049745351,0,0,0,0,0,0
rang,0,0,0,0,0,0,0,0.0022717885,0,0,0,0.0077559462,0,0,0,0,0,0,0.0072249201,0,0,0,0,0,0
qualités,0,0,0,0.00017865118,0,0,0,0,0,0,0,0,0.001921121,0,0.0016230473,0,0,0,0.00059220656,0,0,0,0,0,0
inspirent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009475305,0,0,0,0,0,0
vénération,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00060864273,0,0,0,0,0,0,0,0,0,0
fera,0,0,0.0014556041,0,0,0,0.00077603601,0.0022717885,0,0,0,0,0,0,0.00060864273,0,0,0,0.0036716807,0.0031468263,0,0,0,0,0
taire,0,0,0,0,0,0.0023298656,0,0,0,0,0,0,0.0032772065,0,0,0,0.0024160425,0,0,0,0.0029617663,0,0,0,0
censeurs,0,0.00070989115,0,0,0,0,0,0,0,0.0016047685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anciens,0,0.0040227165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
respectaient,0,0,0,0,0,0,0,0,0.00032399158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consacré,0,0,0,0,0,0,0,0,0,0.00045850527,0,0,0,0,0,0.00015537601,0,0,0.00011844131,0,0,0,0,0,0
déités,0,0,0,0,0,0,0,0,0.00032399158,0,0,0,0,0,0,0,0,0,0,0,0,0.000057191879,0.00064641241,0,0
