Source,Target,Weight,Type
161,4,0.032258065,undirected
161,5,0.05483871,undirected
161,7,0.10967742,undirected
161,8,0.023655914,undirected
161,11,0.017204301,undirected
161,12,0.0032258065,undirected
161,18,0.043010753,undirected
161,19,0.011827957,undirected
161,20,0.0032258065,undirected
161,21,0.049462366,undirected
161,23,0.0053763441,undirected
162,2,0.00110011,undirected
162,3,0.02530253,undirected
162,4,0.02970297,undirected
162,5,0.069306931,undirected
162,7,0.11991199,undirected
162,8,0.02310231,undirected
162,11,0.03520352,undirected
162,13,0.00330033,undirected
162,18,0.04510451,undirected
162,21,0.094609461,undirected
162,24,0.00330033,undirected
163,3,0.03402854,undirected
163,4,0.03402854,undirected
163,5,0.055982437,undirected
163,7,0.1701427,undirected
163,8,0.013172338,undirected
163,11,0.006586169,undirected
163,12,0.0098792536,undirected
163,13,0.0010976948,undirected
163,14,0.0010976948,undirected
163,16,0.0021953897,undirected
163,18,0.030735456,undirected
163,21,0.059275521,undirected
163,24,0.0010976948,undirected
164,0,0.0055066079,undirected
164,1,0.012114537,undirected
164,5,0.018722467,undirected
164,7,0.0077092511,undirected
164,9,0.0055066079,undirected
164,10,0.013215859,undirected
164,12,0.019823789,undirected
164,13,0.0033039648,undirected
164,14,0.23568282,undirected
164,15,0.02092511,undirected
164,16,0.0088105727,undirected
164,17,0.018722467,undirected
164,21,0.0066079295,undirected
164,23,0.035242291,undirected
165,0,0.0053705693,undirected
165,1,0.018259936,undirected
165,2,0.0053705693,undirected
165,7,0.024704619,undirected
165,9,0.067669173,undirected
165,10,0.0021482277,undirected
165,11,0.018259936,undirected
165,12,0.025778733,undirected
165,13,0.021482277,undirected
165,15,0.070891515,undirected
165,16,0.0042964554,undirected
165,18,0.019334049,undirected
165,19,0.015037594,undirected
165,23,0.084854995,undirected
166,0,0.01419214,undirected
166,1,0.072052402,undirected
166,2,0.037117904,undirected
166,9,0.077510917,undirected
166,12,0.0076419214,undirected
166,13,0.017467249,undirected
166,14,0.033842795,undirected
166,15,0.028384279,undirected
166,16,0.0032751092,undirected
166,17,0.0010917031,undirected
166,18,0.030567686,undirected
166,19,0.036026201,undirected
166,21,0.0021834061,undirected
166,22,0.0021834061,undirected
166,23,0.051310044,undirected
166,24,0.0010917031,undirected
167,1,0.014957265,undirected
167,2,0.013888889,undirected
167,3,0.030982906,undirected
167,4,0.019230769,undirected
167,6,0.0010683761,undirected
167,7,0.041666667,undirected
167,9,0.014957265,undirected
167,11,0.066239316,undirected
167,13,0.066239316,undirected
167,15,0.043803419,undirected
167,17,0.0010683761,undirected
167,18,0.023504274,undirected
167,19,0.026709402,undirected
167,20,0.0053418803,undirected
167,23,0.025641026,undirected
167,24,0.010683761,undirected
168,0,0.054406964,undirected
168,1,0.0010881393,undirected
168,2,0.0054406964,undirected
168,3,0.039173014,undirected
168,4,0.021762786,undirected
168,5,0.019586507,undirected
168,7,0.017410229,undirected
168,8,0.019586507,undirected
168,11,0.014145811,undirected
168,12,0.013057671,undirected
168,13,0.070729053,undirected
168,15,0.068552775,undirected
168,20,0.0010881393,undirected
